flight_id,gate_id,bank_name,airline,preferred_zone,aircraft_size,international,arrival_min,arrival_clock,departure_min,departure_clock,turnaround_min,occupied_until_min,passengers,zone,gate_type,max_size,walking_distance_m,taxi_penalty_min,international_capable,assignment_cost,expected_service_extension_min,solution
F01,B2,Morning Bank,TK,A,narrow,0,364,06:04,433,07:13,69,448,153,B,contact,narrow,240,5,1,657.2,9,Priority Dispatch
F02,R3,Morning Bank,VF,B,narrow,1,395,06:35,483,08:03,88,498,122,REMOTE,remote,wide,1050,16,1,2961.0,32,Priority Dispatch
F03,R2,Morning Bank,TK,A,wide,1,409,06:49,537,08:57,128,552,251,REMOTE,remote,wide,980,15,1,4109.8,31,Priority Dispatch
F04,A2,Morning Bank,TK,A,narrow,0,415,06:55,524,08:44,109,539,190,A,contact,narrow,230,6,1,617.0,6,Priority Dispatch
F06,A1,Morning Bank,TK,A,wide,1,416,06:56,571,09:31,155,586,336,A,contact,wide,170,5,1,721.2,5,Priority Dispatch
F05,D1,Morning Bank,TK,A,narrow,0,416,06:56,480,08:00,64,495,170,D,contact,narrow,260,6,1,762.0,10,Priority Dispatch
F07,R1,Morning Bank,TK,A,wide,0,418,06:58,553,09:13,135,568,290,REMOTE,remote,wide,920,14,1,4288.0,30,Priority Dispatch
F08,C1,Morning Bank,AJ,C,narrow,0,424,07:04,503,08:23,79,518,163,C,contact,narrow,280,7,0,666.4,7,Priority Dispatch
F09,C2,Morning Bank,TK,A,narrow,1,434,07:14,518,08:38,84,533,179,C,contact,narrow,320,7,1,922.8,11,Priority Dispatch
F10,B1,Morning Bank,AJ,C,wide,0,473,07:53,582,09:42,109,597,331,B,contact,wide,180,4,1,855.8,8,Priority Dispatch
F11,B2,Morning Bank,TK,A,narrow,1,483,08:03,560,09:20,77,575,184,B,contact,narrow,240,5,1,731.6,9,Priority Dispatch
F12,R3,Morning Bank,TK,A,narrow,1,505,08:25,595,09:55,90,610,142,REMOTE,remote,wide,1050,16,1,3171.0,32,Priority Dispatch
F13,D1,Morning Bank,XQ,D,narrow,0,508,08:28,578,09:38,70,593,186,D,contact,narrow,260,6,1,663.6,6,Priority Dispatch
F14,R4,Morning Bank,VF,B,narrow,0,513,08:33,582,09:42,69,597,130,REMOTE,remote,wide,1110,17,1,3153.0,33,Priority Dispatch
F15,D1,Midday Bank,TK,A,narrow,1,721,12:01,802,13:22,81,817,190,D,contact,narrow,260,6,1,814.0,10,Priority Dispatch
F16,A2,Midday Bank,TK,A,narrow,1,734,12:14,814,13:34,80,829,201,A,contact,narrow,230,6,1,642.3,6,Priority Dispatch
F17,B1,Midday Bank,PC,B,wide,0,778,12:58,900,15:00,122,915,309,B,contact,wide,180,4,1,676.2,4,Priority Dispatch
F18,R2,Midday Bank,VF,B,narrow,0,779,12:59,834,13:54,55,849,146,REMOTE,remote,wide,980,15,1,3080.8,31,Priority Dispatch
F19,A1,Midday Bank,TK,A,wide,1,785,13:05,933,15:33,148,948,322,A,contact,wide,170,5,1,697.4,5,Priority Dispatch
F20,R3,Midday Bank,TK,A,narrow,0,798,13:18,856,14:16,58,871,120,REMOTE,remote,wide,1050,16,1,2940.0,32,Priority Dispatch
F21,C2,Midday Bank,PC,B,narrow,1,800,13:20,884,14:44,84,899,153,C,contact,narrow,320,7,1,839.6,11,Priority Dispatch
F22,R1,Midday Bank,XQ,D,wide,1,801,13:21,944,15:44,143,959,282,REMOTE,remote,wide,920,14,1,4214.4,30,Priority Dispatch
F23,B2,Midday Bank,TK,A,narrow,1,802,13:22,863,14:23,61,878,194,B,contact,narrow,240,5,1,755.6,9,Priority Dispatch
F24,C1,Midday Bank,TK,A,narrow,0,806,13:26,890,14:50,84,905,161,C,contact,narrow,280,7,0,800.8,11,Priority Dispatch
F25,B2,Evening Bank,PC,B,narrow,1,1045,17:25,1119,18:39,74,1134,181,B,contact,narrow,240,5,1,584.4,5,Priority Dispatch
F26,R3,Evening Bank,VF,B,narrow,0,1065,17:45,1156,19:16,91,1171,147,REMOTE,remote,wide,1050,16,1,3223.5,32,Priority Dispatch
F27,A1,Evening Bank,XQ,D,wide,0,1070,17:50,1186,19:46,116,1201,301,A,contact,wide,170,5,1,801.7,9,Priority Dispatch
F28,C1,Evening Bank,VF,B,narrow,0,1091,18:11,1165,19:25,74,1180,168,C,contact,narrow,280,7,0,820.4,11,Priority Dispatch
F29,C2,Evening Bank,TK,A,narrow,1,1091,18:11,1183,19:43,92,1198,153,C,contact,narrow,320,7,1,839.6,11,Priority Dispatch
F31,D1,Evening Bank,TK,A,narrow,0,1097,18:17,1200,20:00,103,1215,178,D,contact,narrow,260,6,1,782.8,10,Priority Dispatch
F30,R4,Evening Bank,TK,A,narrow,1,1097,18:17,1160,19:20,63,1175,144,REMOTE,remote,wide,1110,17,1,3308.4,33,Priority Dispatch
F32,A2,Evening Bank,TK,A,narrow,0,1133,18:53,1236,20:36,103,1251,195,A,contact,narrow,230,6,1,628.5,6,Priority Dispatch
F33,B2,Evening Bank,TK,A,narrow,0,1137,18:57,1222,20:22,85,1237,179,B,contact,narrow,240,5,1,719.6,9,Priority Dispatch
F34,R2,Evening Bank,TK,A,narrow,1,1146,19:06,1218,20:18,72,1233,147,REMOTE,remote,wide,980,15,1,3090.6,31,Priority Dispatch
F35,R1,Evening Bank,TK,A,wide,0,1150,19:10,1267,21:07,117,1282,293,REMOTE,remote,wide,920,14,1,4315.6,30,Priority Dispatch
F36,B1,Evening Bank,PC,B,wide,1,1160,19:20,1272,21:12,112,1287,299,B,contact,wide,180,4,1,658.2,4,Priority Dispatch
