scenario,method,feasible,total_cost,remote_flights,zone_mismatches,weighted_walk_m,service_ext_min,n_delayed
0,FCFS,True,58659.1,9.0,19.0,482.57,500.0,7
0,Priority Dispatch,True,51672.1,9.0,16.0,409.77,494.0,7
0,Optimized MILP,True,45322.6,7.0,13.0,367.94,428.0,7
1,FCFS,True,55672.0,8.0,19.0,462.99,478.0,7
1,Priority Dispatch,True,54415.0,10.0,15.0,425.86,517.0,7
1,Optimized MILP,True,49084.9,8.0,13.0,396.09,455.0,7
2,FCFS,True,61575.5,10.0,19.0,504.88,531.0,10
2,Priority Dispatch,False,,,,,,10
2,Optimized MILP,True,51271.4,9.0,12.0,411.54,479.0,10
3,FCFS,True,67498.7,11.0,21.0,557.6,569.0,11
3,Priority Dispatch,True,57439.7,11.0,16.0,446.09,550.0,11
3,Optimized MILP,True,54719.4,10.0,12.0,437.85,506.0,11
4,FCFS,True,60521.4,10.0,16.0,496.59,518.0,7
4,Priority Dispatch,True,56679.3,11.0,13.0,439.36,537.0,7
4,Optimized MILP,True,50426.5,9.0,12.0,400.36,478.0,7
5,FCFS,True,59030.5,9.0,20.0,488.62,509.0,13
5,Priority Dispatch,True,56935.5,11.0,13.0,444.52,539.0,13
5,Optimized MILP,True,49364.2,8.0,10.0,406.5,447.0,13
6,FCFS,True,56636.4,8.0,20.0,471.42,477.0,12
6,Priority Dispatch,True,46557.1,7.0,15.0,380.21,438.0,12
6,Optimized MILP,True,41197.9,5.0,13.0,351.69,378.0,12
7,FCFS,False,,,,,,13
7,Priority Dispatch,False,,,,,,13
7,Optimized MILP,False,,,,,,13
8,FCFS,True,60784.7,10.0,21.0,493.48,543.0,10
8,Priority Dispatch,True,59493.7,12.0,14.0,460.0,568.0,10
8,Optimized MILP,True,54547.5,10.0,12.0,435.08,507.0,10
9,FCFS,True,65530.9,11.0,19.0,538.97,562.0,7
9,Priority Dispatch,True,57122.6,11.0,15.0,445.3,548.0,7
9,Optimized MILP,True,56571.8,11.0,10.0,447.35,528.0,7
10,FCFS,True,62405.5,10.0,20.0,509.81,534.0,8
10,Priority Dispatch,True,56819.2,11.0,14.0,443.47,543.0,8
10,Optimized MILP,True,51885.6,9.0,10.0,420.52,473.0,8
11,FCFS,True,60957.8,9.0,18.0,511.49,501.0,15
11,Priority Dispatch,True,52067.7,9.0,17.0,414.51,501.0,15
11,Optimized MILP,True,51431.4,9.0,11.0,414.83,477.0,15
12,FCFS,True,65900.5,11.0,18.0,540.2,554.0,6
12,Priority Dispatch,True,57005.6,11.0,14.0,443.15,544.0,6
12,Optimized MILP,True,54260.3,10.0,10.0,434.98,499.0,6
13,FCFS,True,57982.0,9.0,18.0,477.67,502.0,13
13,Priority Dispatch,True,51753.6,9.0,15.0,409.93,491.0,13
13,Optimized MILP,True,51355.9,9.0,11.0,411.74,476.0,13
14,FCFS,False,,,,,,3
14,Priority Dispatch,False,,,,,,3
14,Optimized MILP,False,,,,,,3
15,FCFS,True,59463.1,9.0,20.0,489.62,503.0,7
15,Priority Dispatch,True,52321.4,9.0,17.0,415.11,502.0,7
15,Optimized MILP,True,45959.2,7.0,14.0,373.93,434.0,7
16,FCFS,True,63694.0,10.0,19.0,529.41,530.0,7
16,Priority Dispatch,True,56613.3,11.0,15.0,440.37,543.0,7
16,Optimized MILP,True,51811.9,9.0,12.0,416.08,480.0,7
17,FCFS,True,59645.5,9.0,20.0,494.18,510.0,12
17,Priority Dispatch,True,54398.3,10.0,14.0,427.55,513.0,12
17,Optimized MILP,True,49332.4,8.0,13.0,397.02,455.0,12
18,FCFS,True,64539.8,10.0,16.0,541.42,513.0,9
18,Priority Dispatch,True,51986.9,9.0,17.0,413.4,501.0,9
18,Optimized MILP,True,46743.7,7.0,12.0,389.76,429.0,9
19,FCFS,True,65210.7,10.0,20.0,543.77,533.0,11
19,Priority Dispatch,True,51949.2,9.0,17.0,410.83,500.0,11
19,Optimized MILP,True,51374.6,9.0,12.0,410.49,479.0,11
20,FCFS,True,63679.3,10.0,19.0,527.56,528.0,9
20,Priority Dispatch,True,54029.5,10.0,15.0,424.68,519.0,9
20,Optimized MILP,True,48731.0,8.0,10.0,397.0,443.0,9
21,FCFS,True,62203.8,10.0,19.0,515.14,533.0,11
21,Priority Dispatch,True,54746.2,10.0,16.0,430.13,523.0,11
21,Optimized MILP,True,51763.6,9.0,13.0,415.55,485.0,11
22,FCFS,True,61163.6,9.0,20.0,513.36,508.0,10
22,Priority Dispatch,True,56723.1,11.0,15.0,441.06,545.0,10
22,Optimized MILP,True,49138.3,8.0,12.0,402.86,453.0,10
23,FCFS,True,63802.4,10.0,20.0,526.1,535.0,12
23,Priority Dispatch,True,54087.4,10.0,16.0,422.32,520.0,12
23,Optimized MILP,True,51116.3,9.0,11.0,410.92,476.0,12
24,FCFS,True,58612.7,10.0,19.0,467.94,528.0,16
24,Priority Dispatch,True,51586.6,9.0,14.0,409.56,487.0,16
24,Optimized MILP,True,47547.5,8.0,11.0,380.49,449.0,16
